htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
njp.32101073012898	Estadismo de las islas Filipinas : ó, Mis viajes por este país por el padre fr. Joaquín Martínez de Zúñiga, Agustino calzado. Publica esta obra por primera vez extensamente anotada W. E. Retana vol.1	Martínez de Zúñiga, Joaquín, 1760-1818.	1893-00-00	1	8769928			https://catalog.hathitrust.org/Record/009011286	https://hdl.handle.net/2027/njp.32101073012898
uc1.b4952037	Exploración del territorio de Davao (Filipinas) practicada por Joaquín Rajal y Larré 	Rajal y Larré, Joaquín, 1847-	1891-00-00	1	8655843			https://catalog.hathitrust.org/Record/010744576	https://hdl.handle.net/2027/uc1.b4952037
uc1.b4225850	Exposición General de las Islas Filipinas, 1887 	Exposición General de las Islas Filipinas Madrid, Spain)	1886-00-00	1	28561778			https://catalog.hathitrust.org/Record/011737347	https://hdl.handle.net/2027/uc1.b4225850
coo.31924023985512	El filibustero (novela corta filipina) con un apéndice por W.E. Retana 	Fernández López, Ventura.	1893-00-00	1	62610122	12003066		https://catalog.hathitrust.org/Record/100176317	https://hdl.handle.net/2027/coo.31924023985512
hvd.hnnh5q	Filipinas : ataques de los Holandeses en los siglos XVI, XVII y XVIII bosquejo histórico por Fernando Blumentritt ; traducido del Alemán por Enrique Ruppert 	Blumentritt, Ferdinand, 1853-1913.	1882-00-00	1	12831933			https://catalog.hathitrust.org/Record/102747452	https://hdl.handle.net/2027/hvd.hnnh5q
mdp.39015058854327	Filipinas : notas de viaje y de estancia por José Fernández Giner ; con un prólogo de Luis de Rute 	Fernández Giner, José, b. 1850.	1889-00-00	1	14688224			https://catalog.hathitrust.org/Record/004973828	https://hdl.handle.net/2027/mdp.39015058854327
dul1.ark:/13960/t3gx5277h	Filipinas. Distrito de Benguet. Memoria descriptiva y económica, acompañada del primer plan-cróquis del mismo por Manuel Scheidnagel ... 	Scheidnagel, Manuel, d. 1898.	1878-00-00	1	13152401	03015334		https://catalog.hathitrust.org/Record/010944392	https://hdl.handle.net/2027/dul1.ark:/13960/t3gx5277h
hvd.hnnh5p	Filipinas 	Vila, Francisco.	1880-00-00	1	33259981			https://catalog.hathitrust.org/Record/100518322	https://hdl.handle.net/2027/hvd.hnnh5p
hvd.hnqxlg	Filipinas; cosas de allá (páginas literarias) por W. E. Retana 	Retana, W. E. 1862-1924.	1893-00-00	1	4091122	01020932//r		https://catalog.hathitrust.org/Record/001369371	https://hdl.handle.net/2027/hvd.hnqxlg
njp.32101073012880	Filipinas; reorganización de su ejército, gobiernos y comandancias político-militares; colonias penitenciarias-militares y colonias militares indígenas ... 	Canella y Secades, Francisco de Borja, 1847-1896.	1895-00-00	1	42812186			https://catalog.hathitrust.org/Record/009011285	https://hdl.handle.net/2027/njp.32101073012880
miun.acg8363.0001.001	Los frailes de Filipinas : breves consideraciones de actualidad escritas por un Español peninsular Baltasar Giraudier 	Giraudier, Baltasar.	1888-00-00	1	54137826			https://catalog.hathitrust.org/Record/000537672	https://hdl.handle.net/2027/miun.acg8363.0001.001
hvd.32044082382011	Los frailes en Filipinas : tésis : en quiénes debe apoyarse el gobierno de Filipinas? por Francisco Piferrer 	Piferrer, Francisco, 1813-1863.	1879-00-00	1	13447091			https://catalog.hathitrust.org/Record/100388096	https://hdl.handle.net/2027/hvd.32044082382011
hvd.hnsvcq	Los frailes en Filipinas 	Lallave, Manrique Alonso.	1872-00-00	1	29523525			https://catalog.hathitrust.org/Record/100513098	https://hdl.handle.net/2027/hvd.hnsvcq
hvd.32044082382219	El general Despujol en Filipinas 	Walls y Merino, Manuel.	1892-00-00	1	235954137			https://catalog.hathitrust.org/Record/100391660	https://hdl.handle.net/2027/hvd.32044082382219
hvd.32044012135182	Guerras piráticas de Filipinas contra mindanaos y joloanos : corr. é ilustradas por don Vicente Barrantes 	Barrantes, Vicente, 1829-1898.	1878-00-00	1	11385768	02028085		https://catalog.hathitrust.org/Record/001256885	https://hdl.handle.net/2027/hvd.32044012135182
mdp.39015019196321	Historia de la exposición de las islas Filipinas en Madrid el año de 1887 con una explicación de su posición geográfica, de cómo las hemos adquirido, y un compendio de la historia de las Marianas, Carolinas, Filipinas y Palaos, su producción, importación y exportación ... v.1	Taviel de Andrade, Enrique.	1887-00-00	1	48450411	01020670		https://catalog.hathitrust.org/Record/001267292	https://hdl.handle.net/2027/mdp.39015019196321
yale.39002044556935	Historia general de Filipinas desde el descubrimiento de dichas islas hasta nuestras días por D. José Montero y Vidal ... 	Montero y Vidal, José.	1895-00-00	1	5846855	05008504		https://catalog.hathitrust.org/Record/001256874	https://hdl.handle.net/2027/yale.39002044556935
uc1.$b587317	La immigración China en Filipinas por D. Ramón Jordana y Morera 	Jordana y Morera, Ramón.	1888-00-00	1	23871511	10008505		https://catalog.hathitrust.org/Record/008709273	https://hdl.handle.net/2027/uc1.$b587317
hvd.32044079711396	La instruccion primaria en Filipinas por V. Barrantes ... 	Barrantes, Vicente, 1829-1898.	1869-00-00	1	4737629	06027780		https://catalog.hathitrust.org/Record/001066322	https://hdl.handle.net/2027/hvd.32044079711396
chi.20507766	Las islas Filipinas (de todo un poco) ... 	Cañamaque y Jiménez, Francisco de Paula, 1851-1891.	1880-00-00	1	29678318	03015338//r31		https://catalog.hathitrust.org/Record/100964979	https://hdl.handle.net/2027/chi.20507766
mdp.39015035097008	Islas Filipinas (memoria). 	Balaguer, Victor, 1824-1901.	1895-00-00	1	8325526	12001928		https://catalog.hathitrust.org/Record/000233744	https://hdl.handle.net/2027/mdp.39015035097008
mdp.39015047631380	Las islas Filipinas en 1882; estudios históricos, geográficos estadísticos y descriptivos 	Moya y Jimenez, Francisco Javier de.	1883-00-00	1	13720767	05007860		https://catalog.hathitrust.org/Record/001267300	https://hdl.handle.net/2027/mdp.39015047631380
uc1.a0001016690	Manifiesto al pais sobre los sucesos de Cavite y memoria sobre la administracion y gobierno de las Islas Filipinas por D. Cárlos María de la Torre 	Torre, Cárlos María de la.	1872-00-00	1	320194706			https://catalog.hathitrust.org/Record/012507464	https://hdl.handle.net/2027/uc1.a0001016690
hvd.32044009835216	De Manila à Albay por Don Juan Álvarez Guerra 	Alvarez Guerra, Juan, 1843-1905.	1887-00-00	1	13173390	05007845		https://catalog.hathitrust.org/Record/100327418	https://hdl.handle.net/2027/hvd.32044009835216
miun.acu8855.0001.001	Memoria acerca de las Misiones de los PP. Agustinos Calzados en las Islas Filipinas : presentada al Excmo. Sr. Ministro de Ultramar por el R. P. Comisario de la misma orden 	Font, Salvador, 1844-1908.	1892-00-00	1	45322651			https://catalog.hathitrust.org/Record/000656377	https://hdl.handle.net/2027/miun.acu8855.0001.001
hvd.32044106342280	Memoria descriptiva de la provincia de Manila 	Ugaldezubiaur, Santiago.	1880-00-00	1	82248248			https://catalog.hathitrust.org/Record/100428826	https://hdl.handle.net/2027/hvd.32044106342280
hvd.hnnh6b	Memoria sobre Filipinas y Joló, redactada en 1863 y 1864 Precedida de un prólogo de Francisco Cañamaque 	Escosura, Patricio de la, 1807-1878.	1883-00-00	1	78693318			https://catalog.hathitrust.org/Record/100512048	https://hdl.handle.net/2027/hvd.hnnh6b
hvd.32044009837519	Memoria sobre la poblacion y riqueza de las islas Filipinas, y reformas económico-administrativas que el gobierno español debe plantear para la prosperidad de aquellas posesiones y del estado ... por D. Casimiro de Grau y Figueras ... 	Grau y Figueras, Casimiro de.	1855-00-00	1	27397181	05021137		https://catalog.hathitrust.org/Record/006271045	https://hdl.handle.net/2027/hvd.32044009837519
uc1.$b196871	Los misioneros en Filipinas, sus relaciones con la civilización y dominación española 	Belloc y Sánchez, Vicente.	1895-00-00	1	13193695			https://catalog.hathitrust.org/Record/006659405	https://hdl.handle.net/2027/uc1.$b196871
hvd.32044083861278	Misterios de Filipinas Novela original de D. Antonio Garcia del Canto ... 	García del Canto, Antonio, 1824-1886.	1859-00-00	1	26470497	20023692		https://catalog.hathitrust.org/Record/102725497	https://hdl.handle.net/2027/hvd.32044083861278
hvd.32044080208846	Pacita, ó, La virtuosa Filipina [microform] : novela recreativa de costumbres orientales escrita por Antonia Rodrigues de Ureta 	Rodriguez de Ureta, Antonia.	1892-00-00	1	17181686	86213463//r87		https://catalog.hathitrust.org/Record/100364964	https://hdl.handle.net/2027/hvd.32044080208846
hvd.32044004449427	Paralelo entre la conquista y dominación de América y el descubrimiento y pacificación de Filipinas por el padre fr. Evaristo Fernández Arias. Memoria laureada ... 	Fernández Arias, Evaristo, 1854-1908.	1893-00-00	1	9597772			https://catalog.hathitrust.org/Record/100568438	https://hdl.handle.net/2027/hvd.32044004449427
mdp.39015001022717	Poblacion y comercio de Filipinas por J. Jimeno Agius 	Jimeno Agius, José, 1835-1901.	1884-00-00	1	30376064			https://catalog.hathitrust.org/Record/002806961	https://hdl.handle.net/2027/mdp.39015001022717
mdp.39015022912581	El progreso de filipinas : estudios económicos, administrativos y políticos por Gregorio Sancianco y Goson 	Sancianco y Goson, Gregorio, d. 1892.	1881-00-00	1	5932797	10034623		https://catalog.hathitrust.org/Record/001319505	https://hdl.handle.net/2027/mdp.39015022912581
uc1.$b264799	Recuerdos de Filipinas. Cosas, casos y usos de aquellas islas vistos, oidos, tocados y contados por Francisco Cañamaque. Con una carta-prólogo del Excmo. Sr. D. Patricio de la Escosura ... 	Cañamaque y Jiminez, Francisco, 1851-1891.	1877-00-00	1	34995840	03015341		https://catalog.hathitrust.org/Record/001267296	https://hdl.handle.net/2027/uc1.$b264799
mdp.39015026720832	Relato de un viaje de España á Filipinas por M. Walls y Merino 	Walls y Merino, Manuel.	1895-00-00	1	9138040	12003715		https://catalog.hathitrust.org/Record/000781054	https://hdl.handle.net/2027/mdp.39015026720832
ucm.532528894x	Reseña historica de la guerra al sur de Filipinas, sostenida por las armas españolas contra los piratas de aquel archipielago : desde la conquista hasta nuestros dias por Emilio Bernáldez ... 	Bernáldez, Emilio.	1857-00-00	1				https://catalog.hathitrust.org/Record/009349112	https://hdl.handle.net/2027/ucm.532528894x
hvd.32044082382169	Reseña que demuestra el fundamento y causas de la insurrección del 20 de enero en Filipinas, con los medios de evitarla en lo sucesivo 		1872-00-00	1	14639977	34010085		https://catalog.hathitrust.org/Record/001256915	https://hdl.handle.net/2027/hvd.32044082382169
mdp.39015062929438	Siluetas filipinas por Ximeno Ximénez 	Díaz de la Quintana, Alberto, d. 1911.	1887-00-00	1	13710273			https://catalog.hathitrust.org/Record/001523944	https://hdl.handle.net/2027/mdp.39015062929438
uc1.$b592315	Siluetas y matices, Galeria filipina Con un prólogo de Javier Gómez de la Serna 	Chápuli Navarro, Antonio.	1894-00-00	1	12588478			https://catalog.hathitrust.org/Record/008702573	https://hdl.handle.net/2027/uc1.$b592315
miun.aaw3613.0001.001	Viajes por Filipinas de Manila a Marianas Juan Alvarez Guerra 	Alvarez Guerra, Juan, 1770-1845.	1887-00-00	1	65986640			https://catalog.hathitrust.org/Record/000198810	https://hdl.handle.net/2027/miun.aaw3613.0001.001
